Prdha	Minor_code	Minor_name	Major_code	Major_code_2	Major_name	SubFran_code	SubFran_code_2	SubFran_name	Fran_code	Fran_name	WorldFran_code	WorldFran_code_2	WorldFran_name	PubRep_code	PubRep_name
001800221811041811	041811	Baby Bar Soaps	031811	1811	Baby Bar Soaps	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800221813041813	041813	Baby Gift Sets	031813	1813	Baby Gift Sets	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800225504045504	045504	PCH Baby Skin Treatments	035504	5504	PCH Baby Skin Treatments	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800225650045650	045650	Baby Detergent	035650	5650	Baby Detergent	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800225661045661	045661	Penaten Toiletries	035661	5661	Penaten Toiletries	020022	0022	Baby ex. Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001800230023040023	040023	Elsker	030023	0023	Elsker	020023	0023	Elsker	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001804570457040457	040457	Aveeno Baby	030457	0457	Aveeno Baby	020457	0457	Aveeno Baby	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001810640016040016	040016	Other Baby Wipes	030016	0016	Other Baby Wipes	021064	1064	Baby Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001810640215040215	040215	Skin Lotion Baby Wipes	030215	0215	Skin Lotion Baby Wipes	021064	1064	Baby Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001810645660045660	045660	Penaten Wipes	035660	5660	Penaten Wipes	021064	1064	Baby Wipes	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001815701570041570	041570	Cotton Touch - Oil	031570	1570	Cotton Touch - Oil	021570	1570	Cotton Touch	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001815701571041571	041571	Cotton Touch - Bath	031571	1571	Cotton Touch - Bath	021570	1570	Cotton Touch	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001815701572041572	041572	Cotton Touch - Powder	031572	1572	Cotton Touch - Powder	021570	1570	Cotton Touch	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001815701573041573	041573	Cotton Touch - Lotion	031573	1573	Cotton Touch - Lotion	021570	1570	Cotton Touch	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001817111501041501	041501	Baby Center	031501	1501	Baby Center	021711	1711	BabyCenter	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001817111539041539	041539	BabyCenter Int'l	031539	1539	BabyCenter Int'l	021711	1711	BabyCenter	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856635663045663	045663	Petite Planet	035663	5663	Petite Planet	025663	5663	Petite Planet	010018	Baby Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801120112040112	040112	Clean & Clear	030112	0112	Clean & Clear	020112	0112	Clean & Clear	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801130113040113	040113	NeoStrata	030113	0113	NeoStrata	020113	0113	NeoStrata	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801130115040115	040115	Exuviance	030115	0115	Exuviance	020113	0113	NeoStrata	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801260126040126	040126	Piz Buin	030126	0126	Piz Buin	020126	0126	Piz Buin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801330132040132	040132	RoC* Face	030132	0132	RoC* Face	020133	0133	RoC*	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801330232040232	040232	RoC* Body	030232	0232	RoC* Body	020133	0133	RoC*	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801330233040233	040233	Derma Methode Face	030233	0233	Derma Methode Face	020133	0133	RoC*	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801330234040234	040234	Derma Methode Suncare	030234	0234	Derma Methode Suncare	020133	0133	RoC*	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801330281040281	040281	RoC Suncare	030281	0281	RoC* Suncare	020133	0133	RoC*	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801940448040448	040448	Aveeno Face	030448	0448	Aveeno Face	020194	0194	Aveeno	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801940453040453	040453	Aveeno Body	030453	0453	Aveeno Body	020194	0194	Aveeno	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801940454040454	040454	Aveeno Hair	030454	0454	Aveeno Hair	020194	0194	Aveeno	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801940455040455	040455	Aveeno Sun Protection	030455	0455	Aveeno Sun Protection	020194	0194	Aveeno	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801940458040458	040458	Aveeno Other	030458	0458	Aveeno Other	020194	0194	Aveeno	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802510251040003	040003	Body Care Wash	030251	0251	Johnson's Body Care	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802510251040004	040004	Body Cleansing Bar Soap	030251	0251	Johnson's Body Care	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802510251040006	040006	Body Care Moisturizing	030251	0251	Johnson's Body Care	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802510252041863	041863	Johnson's Adult Shampoo/Conditioner	030252	0252	Johnson's Haircare	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802510253041866	041866	Johnson's Adult Facial Cleansing	030253	0253	Johnson's Face	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802510253041867	041867	Johnson's Adult Facial Wipes	030253	0253	Johnson's Face	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802510253041868	041868	Johnson's Adult Facial Moisturizing	030253	0253	Johnson's Face	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802511874041874	041874	Johnson's Adult Other	031874	1874	Johnson's Adult Other	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802511874041877	041877	Johnson's Adult Deoderant	031874	1874	Johnson's Adult Other	020251	0251	Johnson's Adult	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802550255040255	040255	Dabao	030255	0255	Dabao	020255	0255	Dabao	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802560256040256	040256	Neutrogena Cosmetics	030256	0256	Neutrogena Cosmetics	020256	0256	Neutrogena Cosmetics	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570098040098	040098	Neutrogena Hair Care	030098	0098	Neutrogena Hair Care	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570238040238	040238	Neutrogena Body	030238	0238	Neutrogena Body	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570239040239	040239	Neutrogena Face	030239	0239	Neutrogena Face	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570239040242	040242	Neutrogena Face Moisturizer	030239	0239	Neutrogena Face	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570239040243	040243	Neutrogena Wipers	030239	0239	Neutrogena Face	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570239040244	040244	Neutrogena cleansing	030239	0239	Neutrogena Face	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570239040249	040249	Neutrogena Light Therapy	030239	0239	Neutrogena Face	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802570280040280	040280	Neutrogena Suncare	030280	0280	Neutrogena Suncare	020257	0257	Neutrogena Base	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802590015040015	040015	Bebe	030015	0015	Bebe	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802590017040017	040017	Other Adult Skincare	030017	0017	Other Adult Skincare	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802590110040110	040110	Shower to Shower	030110	0110	Shower to Shower	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802590116040116	040116	Purpose	030116	0116	Purpose	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802590810040810	040810	Biafine	030810	0810	Biafine	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802590895040895	040895	Ambi	030895	0895	Ambi	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802592505042505	042505	Evolence	032505	2505	Evolence	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802594854044854	044854	Vendome	034854	4854	Vendome	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802594855044855	044855	Persavon	034855	4855	Persavon	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001802595502045502	045502	PCH Other Adult Skincare	035502	5502	PCH Other Adult Skincare	020259	0259	Other Adult Skin	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001811201120041120	041120	Sundown	031120	1120	Sundown	021120	1120	Sundown	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001848534862044862	044862	Petit Marseillais Body	034862	4862	Petit Marseillais Body	024853	4853	Petit Marseillais	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001848534863044863	044863	Petit Marseillais Hair	034863	4863	Petit Marseillais Hair	024853	4853	Petit Marseillais	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001848534864044864	044864	Petit Marseillais Face	034864	4864	Petit Marseillais Face	024853	4853	Petit Marseillais	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001848654865044865	044865	Korres	034865	4865	Korres	024865	4865	Korres	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855005500045500	045500	Lubriderm	035500	5500	Lubriderm	025500	5500	Lubriderm	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855332014042015	042015	MedicatedShampoo(Nizoral)	032014	2014	Nizoral	025533	5533	Hair Treatment	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855335533045533	045533	Other Haircare	035533	5533	Other Haircare	025533	5533	Hair Treatment	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855335534045501	045501	Women's Rogaine Foam (5%)	035534	5534	Rogaine/Regaine	025533	5533	Hair Treatment	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855335534045531	045531	Men's Rogaine Foam (5%)	035534	5534	Rogaine/Regaine	025533	5533	Hair Treatment	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855335534045534	045534	Men's Rogaine Solution (5%)	035534	5534	Rogaine/Regaine	025533	5533	Hair Treatment	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855335534045592	045592	Women's Rogaine Solution (2%)	035534	5534	Rogaine/Regaine	025533	5533	Hair Treatment	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856015601045601	045601	CLB Face	035601	5601	Dr. Ci: Labo Series	025601	5601	Dr. Ci: Labo	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856015601045602	045602	CLB Sun	035601	5601	Dr. Ci: Labo Series	025601	5601	Dr. Ci: Labo	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856015601045603	045603	CLB Device	035601	5601	Dr. Ci: Labo Series	025601	5601	Dr. Ci: Labo	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856015604045604	045604	Labo Labo Face	035604	5604	Labo Labo Series	025601	5601	Dr. Ci: Labo	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856105610045610	045610	OGX - Hair	035610	5610	OGX	025610	5610	Vogue Int'l	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856105610045611	045611	OGX - Body	035610	5610	OGX	025610	5610	Vogue Int'l	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856105612045612	045612	Maui Moisture - Hair	035612	5612	Maui Moisture	025610	5610	Vogue Int'l	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001856105613045613	045613	Vogue Int'l Other - Hair	035613	5613	Vogue Int'l Other	025610	5610	Vogue Int'l	010124	Beauty	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801350135040135	040135	Toothbrushes - Manual	030135	0135	Toothbrushes - Manual	020135	0135	Toothbrushes - Manual	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801360136040136	040136	Floss/Tape	030136	0136	Floss/Tape	020136	0136	Dental Floss	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801360212040212	040212	Interdental Devices	030212	0212	Interdental Devices	020136	0136	Dental Floss	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380137040137	040137	Dental Rinse	030137	0137	Dental Rinse	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138040138	040138	All Other Oral Care	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138041508	041508	Toothbrushes - Power	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045505	045505	PCH Dental Rinse Other	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045506	045506	Plax	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045508	045508	PCH Denture Care Other	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045509	045509	Efferdent	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045510	045510	PCH Toothpaste	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045511	045511	PCH Mouth Fresheners Other	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045512	045512	Listerine PocketPaks	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801380138045513	045513	Listerine PocketMist	030138	0138	All Other Oral Care	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801385573045573	045573	Listerine Whitening Strips	035573	5573	Listerine Whitening Strips	020138	0138	Other Oral Care	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001815501550041551	041551	Rembrandt - Toothpaste	031550	1550	Rembrandt	021550	1550	Rembrandt	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001815501550041552	041552	Rembrandt - Strips	031550	1550	Rembrandt	021550	1550	Rembrandt	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001815501550041557	041557	Rembrandt - Other	031550	1550	Rembrandt	021550	1550	Rembrandt	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855075507045507	045507	Listerine Adult Mouthwash	035507	5507	Listerine Adult Mouthwash	025507	5507	Listerine Mouthwash	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855075586045586	045586	Listerine Kids Mouthwash	035586	5586	Listerine Kids Mouthwash	025507	5507	Listerine Mouthwash	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855075589045589	045589	Listerine Whitening Mouthwash	035589	5589	Listerine Whitening Mouthwash	025507	5507	Listerine Mouthwash	010127	Oral Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801420142040140	040140	Other Band-Aid (incl liquid and blister)	030142	0142	Band Aid Brand Adhesive Bandages	020142	0142	Band Aid Brand Adhesive Bandages	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801420142040142	040142	Band Aid Brand Adhesive Bandages	030142	0142	Band Aid Brand Adhesive Bandages	020142	0142	Band Aid Brand Adhesive Bandages	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001801420142041713	041713	Band-Aid Brand Hydrocolloid Bandages	030142	0142	Band Aid Brand Adhesive Bandages	020142	0142	Band Aid Brand Adhesive Bandages	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001817200064040064	040064	Compeed Lip Care	030064	0064	Compeed Lip Care	021720	1720	Compeed	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001817200197040197	040197	Compeed Bandages	030197	0197	Compeed Other	021720	1720	Compeed	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001817200197041719	041719	Other Compeed Foot Care	030197	0197	Compeed Other	021720	1720	Compeed	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001817201720041718	041718	Blister	031720	1720	Compeed Blister	021720	1720	Compeed	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001817201721041720	041720	Corn	031721	1721	Compeed Corn	021720	1720	Compeed	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818770030040030	040030	Germs/SAVLON*	030030	0030	Germs/SAVLON*	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818770068040068	040068	Other Topical Health	030068	0068	Other Topical Health	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818770068045520	045520	PCH Other Topical Health	030068	0068	Other Topical Health	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818770213040066	040066	Band Aid Brand Itch Products	030213	0213	Itch Products	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818770213040067	040067	Cortaid	030213	0213	Itch Products	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818770213045526	045526	PCH Anti-Itch Products Other	030213	0213	Itch Products	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818770213045527	045527	Caladryl	030213	0213	Itch Products	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818771876040071	040071	Consumer First Aid Prod	031876	1876	BAND-AID First Aid	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818771876040072	040072	Compeed First Aid Product	031876	1876	BAND-AID First Aid	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818771876040076	040076	Sports Tapes	031876	1876	BAND-AID First Aid	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818771876040077	040077	First Aid Kits	031876	1876	BAND-AID First Aid	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818771876041875	041875	Home Health care (HHC)	031876	1876	BAND-AID First Aid	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001818775525045525	045525	Purell	035525	5525	Purell	021877	1877	JNJ Other Wound	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855215521045521	045521	Neosporin Ointment	035521	5521	Neosporin/Polysporin	025521	5521	Neosporin/Polysporin	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
001855215521045529	045529	Neosporin Other	035521	5521	Neosporin/Polysporin	025521	5521	Neosporin/Polysporin	010145	Wound Care	C00018	0018	Consumer Products ex. Women's Hlth	CC3999	Consumer Products
015901670167040156	040156	Digital	030167	0167	Internal Sanitary Protection	020167	0167	Internal Sanitary Protection	010167	Internal Sanitary Protect	C00159	0159	Ttl Women's Health	CC3999	Consumer Products
015901670167040157	040157	Applicator Tampons	030167	0167	Internal Sanitary Protection	020167	0167	Internal Sanitary Protection	010167	Internal Sanitary Protect	C00159	0159	Ttl Women's Health	CC3999	Consumer Products
015901700141040141	040141	Intimacy Enhancement (KY)	030141	0141	Intimacy Enhancement (KY)	020170	0170	Intimate Health	010170	Intimate Health	C00159	0159	Ttl Women's Health	CC3999	Consumer Products
015901700148040148	040148	Family Planning	030148	0148	Family Planning	020170	0170	Intimate Health	010170	Intimate Health	C00159	0159	Ttl Women's Health	CC3999	Consumer Products
