Approval,GMDN,GMDN Description,Recommended UNSPSC,UNSPSC Description,
,34197,Uncoated shoulder humeral stem prosthesis,42242002,Upper extremity prosthetic devices,
,34198,Coated knee tibia prosthesis,42242001,Lower extremity prosthetic devices,
,34199,Metal-backed patella prosthesis,42242001,Lower extremity prosthetic devices,
,34212,"Anti-adhesion dressing, bioabsorbable",42311545,Non adhesive dry bandages or dressings,
,34223,"Uncoated hip femur prosthesis, one-piece",42242001,Lower extremity prosthetic devices,
,34827,Tendon/ligament tunneller,42293804,Surgical tunnelers,
,34856,"Rigid arthroscope, reusable",42296304,Arthroscopes,
,34858,"Suction system canister, single-use",42293521,Medical or surgical suction containers,
,34878,Bur cleaning brush,42291633,Surgical burr accessories,
,34949,Bone approximation clamp,42293307,Surgical approximators,
,34958,Aneurysm clip,42291802,Surgical clamps or clips or forceps,
,34959,"Scalp haemostasis clip, reusable",42291802,Surgical clamps or clips or forceps,
,35012,Endoscope washer/disinfector,42282005,Endoscope pull-through cleaning systems,
,35030,"Electrocautery system generator, line-powered",42294968,Endoscopic electrocautery systems,
,35041,Electrosurgical cable adaptor,42295143,Electrosurgical or electrocautery accessories or attachments,
,35042,"Electrosurgical diathermy system cable, reusable",42295143,Electrosurgical or electrocautery accessories or attachments,
,35043,"Electrosurgical handpiece/electrode holder, reusable",42295143,Electrosurgical or electrocautery accessories or attachments,
,35048,Bone lever/elevator,42321512,Permanent bone fixation pins or pegs,
,35081,Haemostatic forceps,42291802,Surgical clamps or clips or forceps,
,35090,Surgical gouge,42291606,Surgical chisels or gouges,
,35094,"Cardiac guidewire, single-use",42294222,Introducers or guide pins or guidewires or glidewires or guide rods,
,35095,"Surgical drill guide, reusable",42295207,Surgical drill guides or sleeves,
,35095,"Surgical drill guide, reusable",42295207,Surgical drill guides or sleeves,
,35102,Surgical helmet system,42131707,Surgical isolation suits or helmets or shields or accessories,
,35110,Skin/tissue hook,42293102,Surgical retraction hooks,
,35139,Chisel/osteotome blade handle,42291604,Surgical bone hand saws or wire saws or saw handles,
,35141,"Scalpel, reusable",42291632,Surgical scalpel or knife or blade or trephine accessories,
,35158,"Endoscopic light source, line-powered",42294972,Endoscopic or surgical light sources,
,35166,Bone nail driver,42292106,Bone pin driver-bender-extractors,
,35205,Rigid nasopharyngoscope,42296326,Nasopharyngoscopes,
,35217,"Orthopaedic cement, non-medicated",42296705,Surgical bone cements,
,35287,"Bone punch, reusable",42291716,Surgical punch or punch holder accessories,
,35297,"Medullary canal orthopaedic reamer, flexible",42295204,Surgical power reamers,
,35315,Orthopaedic retractor,42293107,Surgical retractors,
,35329,Orthopaedic scissors,42291614,Surgical scissors,
,35356,"Suction cannula, single-use",42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,35362,Chemical/physical sterilization process indicator,42281806,Sterilization indicator strips,
,35380,Tendon stripper,42293803,Surgical strippers,
,35436,Manual wire driver,42292402,Surgical drivers,
,35482,Aerobic laboratory incubator,42271714,Medical incubators,
,35507,Fibreoptic light cable,42295016,Surgical or endoscopic video cable,
,35541,Intervertebral disc rongeur,42321601,Intervertebral discs,
,35559,Bone rasp,42321512,Permanent bone fixation pins or pegs,
,35615,"Surgical staple, non-bioabsorbable",42312012,Medical staples for external use,
,35620,Arthroscopic drainage cannula,42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,35647,"External orthopaedic fixation system, reusable",42294202,External fixation instrument sets or systems,
,35649,"Ligation clip, metallic",42291802,Surgical clamps or clips or forceps,
,35685,Orthopaedic bone wire,42321501,Surgical wires,
,35687,"General-purpose implantable infusion pump, programmable",42295541,Implantable infusion port or accessories,
,35692,Rigid endoscope obturator,42294978,Endoscopic trocars or sheathes or obturators or cannulae,
,35703,"Universal foot-controlled electrosurgical diathermy system conducting unit, single-use",42141806,Diathermy units,
,35720,Line-powered shaver system handpiece electrical cable,42295216,Surgical shaver equipment or handpiece accessories,
,35788,Orthopaedic bone calliper,42321512,Permanent bone fixation pins or pegs,
,35797,Orthopaedic cerclage applier,42292913,Surgical cerclage instrument accessories,
,35798,"Surgical clip applier, reusable",42312006,Medical clip appliers for internal use,
,35886,"Body aspiration needle, single-use",42142601,Medical aspiration or irrigation syringes,
,35917,"Basic suction tip, single-use",42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,35948,Arthroscopic probe,42292603,Surgical probes or directors,
,35958,Endoscope video camera,42296408,Endoscopic video cameras or recorders or adapters or accessories,
,35965,Ventriculo-peritoneal/atrial shunt valve,42295512,Surgical implantable shunts or shunt extenders,
,35967,Self-retaining surgical retraction system ring,42293133,Surgical retractor rings,
,35983,Ambulatory insulin infusion pump,42192610,Insulin infusion pumps,
,36003,Arthroscopic irrigation/insufflation system,42293509,Surgical irrigation sets,
,36069,Intravenous pole,42222103,Intravenous infusion poles for wheelchairs,
,36079,Haemostasis valve,42296002,Cardiovascular conduits,
,36087,"Pulse oximeter probe, reprocessed",42181803,Pulse oximeter probes or sensors,
,36107,"Liposuction system cannula, single-use",42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,36126,"Surgical clip applier, single-use",42312006,Medical clip appliers for internal use,
,36129,Suturing guide,42292912,Suture guides,
,36135,Trial joint prosthesis,,#N/A,
,36151,Ventricular cerebrospinal fluid drainage kit,42295453,Surgical drains or drain sets,
,36167,Orthopaedic broach,42291605,Surgical broaches,
,36174,Ligament anchor,42322202,Soft tissue non-suture anchors,
,36196,Saline-filled breast implant,42295537,Breast implants,
,36197,Silicone gel-filled breast implant,42295537,Breast implants,
,36198,Orthopaedic bone washer,42321509,Orthopedic washers,
,36224,"Arthroscopic shaver system, line-powered",42295205,Surgical shaver equipment or handpieces,
,36235,Manual surgical rotary handpiece,42296802,General surgical instruments,
,36249,"Orthopaedic bur, reusable",42291627,Surgical burr,
,36259,Shoulder glenoid fossa prosthesis,42321905,Glenoid spheres,
,36273,Ultrasonic surgical system generator,42295167,Surgical suction machine or vacuum extractor or ultrasonic Surgical aspirator or regulator accessories,
,36292,Endoscope camera adaptor,42296408,Endoscopic video cameras or recorders or adapters or accessories,
,36305,Plasma sterilizer,42281532,Gas plasma sterilizers,
,36336,"Foot-switch, electrical",42295215,Surgical power equipment accessories,
,36534,Rechargeable battery pack, ,#N/A,
,36628,Rigid hysteroscope,42296321,Hysteroscopes,
,36894,Liposuction system,42293523,Medical or surgical suction sets or kits,
,37050,Medical table clamp,42192002,Medical exam or procedure table accessories for general use excluding cover sheets,
,37086,Rigid endoscope sheath,42294978,Endoscopic trocars or sheathes or obturators or cannulae,
,37089,Light source adaptor, ,#N/A,
,37090,Endoscope assembly adaptor,42296408,Endoscopic video cameras or recorders or adapters or accessories,
,37144," Endotherapy trocar, reusable",42294978,Endoscopic trocars or sheathes or obturators or cannulae,
,37148,Laparoscopic sleeve,42131709,Surgical sleeves,
,37151,Laparoscopic sleeve dilator,42131709,Surgical sleeves,
,37243,"Manual blood lancing device, reusable",42142521,Blood collection needles,
,37390,"Endoscopic suturing unit, single-use",42294934,Endoscopic suturing devices,
,37412,Instrument cleaning jet pistol,42282020,Instrument cleaning device accessories,
,37458,"Scalp haemostasis clip, single-use",42291802,Surgical clamps or clips or forceps,
,37839,"Suture/needle passer, reusable",42292904,Surgical suture or wire passers or related products,
,37867,"Surgical power tool system handpiece, rotary, rechargeable battery-powered",42295215,Surgical power equipment accessories,
,37869,Pneumatic surgical power tool system hose,42295214,Surgical pneumatic or battery or electric saw or drill or pin driver accessories,
,37875,Pneumatic surgical power tool system motor,42295202,Surgical pneumatic or battery or electric saws or drills or pin drivers,
,37876,"Surgical power tool system handpiece, rotary, pneumatic",42295202,Surgical pneumatic or battery or electric saws or drills or pin drivers,
,37997,"Nylon suture, multifilament",42312201,Sutures,
,38000,"Nylon suture, monofilament",42312201,Sutures,
,38071,"Polymer orthopaedic cement restrictor, bioabsorbable",42321716,Femoral canal cement restrictors,
,38143,Suturing clip,42292911,Suture clips,
,38152,"Tibia nail, steril",42321504,Intramedullary nails or rods,
,38153,"Humerus nail, sterile",42321504,Intramedullary nails or rods,
,38156,Ceramic femoral head prosthesis,42242001,Lower extremity prosthetic devices,
,38161,"Metallic spinal fusion cage, sterile",42321605,Spinal interbody cages or spacers,
,38168,Periosteal elevator,42292702,Surgical elevators or levers,
,38357,Radiation shielding blanket,42204002,Medical radiological shielding aprons or masks or drapes,
,38456,"Laparoscopic multi-instrument access port, single-use",42131709,Surgical sleeves,
,38725," Endotherapy trocar, single-use",42294978,Endoscopic trocars or sheathes or obturators or cannulae,
,38727,"General-purpose surgical scissors, reusable",42291614,Surgical scissors,
,38771,Surgical plant polysaccharide haemostatic agent ,42311607,Surgical hemostatic agents,
,38799,"Polymer orthopaedic cement restrictor, non-bioabsorbable, sterile",42321716,Femoral canal cement restrictors,
,38871,"Orthopaedic bone particle collector, single-use",42296816,Orthopedic surgical instruments,
,38873,Polyvinylidene fluoride suture,42312201,Sutures,
,39702,Coated shoulder humeral stem prosthesis,42321903,Humeral stems,
,39704,Coated ankle tibia prosthesis,42322001,Ankle joint implants,
,40124,Hinged total elbow prosthesis,42242002,Upper extremity prosthetic devices,
,40596,Electromechanical device transport trolley,42192404,Medical carts,
,41264,"Surgical power tool system control unit, line-powered",42295203,Surgical power equipment sets,
,41499,"Arthroscopic shaver system blade, single-use",42295216,Surgical shaver equipment or handpiece accessories,
,41556,Hip unit prosthesis,42242001,Lower extremity prosthetic devices,
,41599,Nasal irrigation applicator,42143528,Nasal irrigation device accessories,
,41643,Surgical irrigation/aspiration system pump,42293518,Surgical irrigation pump equipment or pulsed lavage with or without suction,
,41722,"Drilling power tool attachment, oscillating",42295215,Surgical power equipment accessories,
,41819,"Glucose IVD, control", ,#N/A,
,42283,"Diagnostic ultrasound cardiac catheter, non-steerable",42203441,Intravascular ultrasound catheters,
,42412,"Laparoscopic trocar/sleeve, single-use",42294979,Surgical trocars for general use,
,42425,"Metal/carbide ENT bur, reprocessed",42291627,Surgical burr,
,42584,"Diagnostic ultrasound cardiac catheter, steerable, single-use",42203441,Intravascular ultrasound catheters,
,42795,"Female wearable urinal, reusable",42192406,Urinal carrying carts,
,42894,"Implant handling forceps, scissors-like",42294219,Orthopedic surgical instrument sets,
,42981,Trephining power tool attachment,42295215,Surgical power equipment accessories,
,42997,Surgical instrument/implant rack,42281510,Sterilization instrument clips or racks or stringers or holders,
,43167,Acetabular shell,42321702,Acetabular cup shells,
,43167,Acetabular shell,42321702,Acetabular cup shells,
,43168,Non-constrained polyethylene acetabular liner,42321703,Acetabular cup liners,
,43168,Non-constrained polyethylene acetabular liner,42321703,Acetabular cup liners,
,43222,Limb cover,42242004,Prosthesis stump socks or covers,
,43257,Bone-screw internal spinal fixation system,42321507,Internal bone fixation sets,
,43324,"Fluid transfer set, general-purpose",42295134,General surgical supply sets,
,43390,"Fluted surgical drill, single-use, sterile",42295203,Surgical power equipment sets,
,43555,Burring power tool attachment,42291633,Surgical burr accessories,
,43660,Wire-driving power tool attachment,42295215,Surgical power equipment accessories,
,43662,Screwing power tool attachment,42295215,Surgical power equipment accessories,
,43663,"Sawing power tool attachment, sagittal",42291714,Surgical saw blade accessories,
,43664,"Sawing power tool attachment, reciprocating",42291714,Surgical saw blade accessories,
,43665,"Sawing power tool attachment, oscillating",42291714,Surgical saw blade accessories,
,43956,Temporal bone holder,42291802,Surgical clamps or clips or forceps,
,43962,"Drilling power tool attachment, basic",42295215,Surgical power equipment accessories,
,43980,Embolization implant kit, ,#N/A,
,43989,Embolization implant syringe,42293406,Surgical implant positioners and holders,
,44052,"Orthopaedic surgical procedure kit, non-medicated, single-use",42294219,Orthopedic surgical instrument sets,
,44074,Infusion pump programmer,42222012,Infusion pump kit accessories,
,44093,"Arthroscopic surgical procedure kit, non-medicated, single-use",42294219,Orthopedic surgical instrument sets,
,44096,"Laparoscopic surgical procedure kit, non-medicated, single-use",42294213,Laparotomy surgical instrument sets,
,44237,Eye lubricant,42181503,Exam or personal lubricants or jellies,
,44267,Temporary hip prosthesis,42321724,Hip cement spacers,
,44362,Constrained polyethylene acetabular liner,42321703,Acetabular cup liners,
,44378,Bone Distraction Forceps,42291603,Surgical bone cutting forceps,
,44491,"Multi-purpose surgical power tool system, line-powered",42295203,Surgical power equipment sets,
,44505,"Multi-purpose surgical power tool system, pneumatic",42295202,Surgical pneumatic or battery or electric saws or drills or pin drivers,
,44539,Surgical flat-nosed pliers,42312009,Medical staplers for internal use,
,44584,Ethmoid punch,42291713,Surgical punches or punch holders,
,44605,Surgical drill chuck key,42295174,Surgical chucks or keys,
,44641,"Multi-purpose surgical power tool system, rechargeable battery-powered",42295203,Surgical power equipment sets,
,44686,"Gastric calibration tube, non-sterile",42231602,Gastric percutaneous tubes or kits,
,44688,"Multi-purpose surgical mesh, synthetic polymer, bioabsorbable",42295513,Surgical mesh or tissue barriers,
,44742,"Joint prosthesis implantation kit, reusable",42295204,Surgical power reamers,
,44751,"Soft-tissue ultrasonic surgical system handpiece, hand-controlled, reusable",42295167,Surgical suction machine or vacuum extractor or ultrasonic Surgical aspirator or regulator accessories,
,44755,"Soft-tissue ultrasonic surgical system handpiece tip, single-use",42295167,Surgical suction machine or vacuum extractor or ultrasonic Surgical aspirator or regulator accessories,
,44756,"Abdominal hernia surgical mesh, composite-polymer",42295513,Surgical mesh or tissue barriers,
,44759,General internal orthopaedic fixation system implantation kit,42293406,Surgical implant positioners and holders,
,44760,Trial joint prosthesis set,42294219,Orthopedic surgical instrument sets,
,44763,"Cervical spine immobilization system, reusable",42321518,External bone fixation sets,
,44766,N/A, ,#N/A,
,44772,Cardiac ablation system irrigation tubing set,42293509,Surgical irrigation sets,
,44776,Electrosurgical system,42295104,Electrosurgical or electrocautery equipment,
,44778,Soft-tissue ultrasonic surgical system,42295123,Surgical suction machines or vacuum extractors or ultrasonic surgical aspirators or regulators,
,44788,Soft-tissue ultrasonic surgical system,42295123,Surgical suction machines or vacuum extractors or ultrasonic surgical aspirators or regulators,
,44795,"Manual orthopaedic bender, reusable",42292301,Surgical bending instruments,
,44796,Clinical ruler,42293001,Surgical calipers or rulers or protractors,
,44801,Internal spinal fixation system cable tensioner,42321507,Internal bone fixation sets,
,44802,Orthopaedic instrument cleaning tool,42282020,Instrument cleaning device accessories,
,44804,Orthopaedic rod reducer,42296816,Orthopedic surgical instruments,
,44805,Orthopaedic implantable-device cutter,42296816,Orthopedic surgical instruments,
,44808,Craniofacial bone wire/bar,42321501,Surgical wires,
,44829,Polydioxanone/polyethylene suture,42312201,Sutures,
,44835,Hydrogen peroxide device sterilant,42281607,Medical device or instrument sterilants,
,44854,"Arthrodesis nail, sterile",42321504,Intramedullary nails or rods,
,44856,Cerebrospinal fluid shunt valve programmer,42294221,Shunt system implantation instrument sets,
,44867,"Cardiac mapping/radio-frequency ablation catheter, single-use",42203416,Cardiac ablation catheters,
,44869,Orthopaedic graft inserter,42295545,Bone graft extender or void fillers or substitutes,
,44872,Orthopaedic graft tensioner,42292304,Surgical tensioners,
,44877,Orthopaedic graft sizer,42293003,Surgical graft measuring instruments,
,44984,"Oscillating surgical saw blade, reusable",42295211,Surgical powered saw blades,
,44985,"Reciprocating surgical saw blade, reusable",42295211,Surgical powered saw blades,
,44987,"Manual surgical saw, flexible",42291709,Surgical non powered saw blades,
,44990,Skin-cover adhesive strip,42311546,Adhesive dry bandages,
,45025,"Catgut suture, chromic",42312201,Sutures,
,45038,"Orthopaedic fixation plate, bioabsorbable",42321505,Bone plates,
,45039,"Orthopaedic bone screw, bioabsorbable",42321506,Bone screws,
,45041,"Internal orthopaedic fixation system, plate/screw, bioabsorbable",42321507,Internal bone fixation sets,
,45061,"Soft-tissue anchor, bioabsorbable",42322202,Soft tissue non-suture anchors,
,45062,"Soft-tissue anchor, non-bioabsorbable",42322202,Soft tissue non-suture anchors,
,45109,Orthopaedic reamer guide,42291702,Surgical hand reamers or awls,
,45111,Orthopaedic reamer handle,42292403,Surgical ratchet handles,
,45114,"Bone-resection orthopaedic reamer, reusable",42296816,Orthopedic surgical instruments,
,45115,"Medullary canal orthopaedic reamer, rigid",42295204,Surgical power reamers,
,45130,Tissue extraction bag,42281509,Sterilization containers or trays,
,45142,Dental anaesthesia injection kit,42153001,Dental anesthesia sets,
,45169,"Stereotactic surgery system probe, reusable",42296612,Stereotactic system components and assemblies,
,45181,Self-retaining surgical retraction system,42293107,Surgical retractors,
,45182,"Self-retaining surgical retractor, reusable",42293107,Surgical retractors,
,45187,Tissue expander,42295509,Plastic or cosmetic tissue expanders or sets,
,45253,Orthopaedic cement preparation/delivery kit,42321716,Femoral canal cement restrictors,
,45254,"Suction cannula, reusable",42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,45322,"Lift thread, non-bioabsorbable",42295540,Cosmetic facial implants,
,45389,Closed-wound drain connector,42295475,Surgical drain or set accessories,
,45401,"Polyglactin suture, antimicrobial",42312201,Sutures,
,45414,"Liposuction system cannula, reusable",42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,45417,Silicone gel/saline-filled breast implant,42295537,Breast implants,
,45518,"Sagittal surgical saw blade, reusable",42295211,Surgical powered saw blades,
,45597,Laparoscopic sleeve seal reducer,42131709,Surgical sleeves,
,45694,Ventriculoperitoneal shunt,42295512,Surgical implantable shunts or shunt extenders,
,45716,"Suture knot pusher, reusable",42296206,Surgical robotic knot pusher or delivery instruments,
,45804,Electrical mains power cable,42295215,Surgical power equipment accessories,
,45805,"Evacuated blood collection tube IVD, Na2EDTA",42295426,Surgical specimen collection traps or containers,
,45814,Poliglecaprone suture,42312201,Sutures,
,45892,Breast implant fill tube plug,42295537,Breast implants,
,45893,Breast implant fill tube plug introducer,42295537,Breast implants,
,45895,Breast implant fill tube plug kit,42295537,Breast implants,
,45966,Transthoracic pacing lead,42203502,Cardiac pacing leads or electrodes,
,46007,Cardiac mapping system reference patch,42181708,Electrocardiography EKG electrode patches,
,46031,Orthopaedic cement compressor,42296706,Surgical bone cement injector accessories,
,46059,"Orthopaedic cement, medicated",42296705,Surgical bone cements,
,46102,"Surgical irrigation tubing set, single-use",42293509,Surgical irrigation sets,
