GMDN,Short Desp,Long Desp
11490,Electrosurgical system generator,"A mains electricity-powered (AC-powered) component of a electrosurgical system intended to generate radio-frequency (RF) electrical current for subsequent cutting and coagulation of soft tissues during an endoscopic or open surgical procedure; it is not dedicated to focal ablation of specific tissues (i.e., not a radio-frequency ablation system generator). It includes controls and is intended to be connected via a cable to an electrosurgical handpiece and electrode (neither of these are included); it is not intended for argon-enhanced electrosurgery."
11702,Bone file,"A hand-held, manually-operated, instrument that has various forms of fine ridged cutting surfaces along part of or all of its working end that is used for cutting and smoothing (filing) bone tissue. It is made of high-grade steel and may be a one-piece instrument with a handle at the proximal end. The distal end may be flat or profiled (e.g., flat on one side and convex on the other). This device is typically used in orthopaedics, plastic surgery and dentistry. This is a reusable device."
11798,"Utility forceps, reusable",A hand-held manual surgical instrument used for general-purpose grasping/picking up of other devices/objects typically with the intention of maintaining a sterile condition or avoiding direct hand contact because of unhygienic/unfavourable conditions. It typically has a scissors-like design with ring handles and is made of high-grade stainless steel. It is available in various sizes and the working end will typically have grasping blades that are elongated or shaped as large oval or triangular rings. The blades are usually serrated to enhance grip on the objects being picked up. This is a reusable device.
11961,Face splash shield,"A clear, transparent guard intended to provide full face cover, to protect (shield) the healthcare worker from blood and other body fluid splashes while performing a clinical or laboratory procedure. It is commonly known as a splash shield. This is a single-use device."
12143,Instrument tray,"A flat shallow vessel, usually with a raised rim, providing a suitable platform for containing many medical, usually surgical instruments and items. It is typically made of stainless steel and designed to fit into other devices, e.g., supply trolleys, storage systems or sterilizers. This device may or may not be fitted with a lid or cover. This is a reusable device."
12696,Orthopaedic implant inserter/extractor,"A hand-held manual surgical instrument designed to insert or extract an implantable orthopaedic device (e.g., a bone nail, spiral blade, or bone fixation plate) into or out of the body. It is a robust instrument that has a mechanism (e.g., a sturdy hook that slots into one of the nail's locking screw holes, or a tapered/straight thread that locks into the inner material/thread of the implant's construct, or a clamp that will attach and/or lock to an exposed part of the implant). It is typically made of stainless steel/synthetic material and the surgeon can make strikes on the proximal end with a surgical hammer or mallet to insert/extract the implant. This is a reusable device. See also: Bone nail driver; Orthopaedic implant driver; Hip prosthesis socket pusher; Orthopaedic implant hammering attachment"
12699,Epistaxsis balloon,"A device consisting of a hollow rubber or rubber-like structure, expandable with either liquid or air, intended to be used to control nose bleeding (epistaxis) of the anterior or posterior nasal cavity. It is applied during an ear/nose/throat (ENT) intervention and can also be used to treat glue ear in children, and/or to support the structure and patency of the nasal canal. This is a single-use device."
12726,"Needle holder, reusable","A hand-held manual surgical instrument designed to grasp a suture needle when pushing/pulling the needle and attached suture through tissue during suturing. It is made of high-grade stainless steel and has short serrated jaws at the distal end to provide better grip of the needle. It is available in a wide variety of sizes and designs, such as: 1) a self-retaining, scissors-like design with ring handles at the proximal end; 2) a tweezers-like design with bowed, hinged handles that are operated by squeezing them together; and 3) a heavy-duty pincer-like design. Some types may utilize inserts made of hard materials (e.g., carbide) and include scissor blades. This is a reusable device."
12750,"Spring-loaded pneumoperitoneum needle, single-use ","A slender, sharply-pointed metal tube designed to introduce or remove gas from the peritoneal cavity as a therapeutic or surgical/radiological procedural method. It is often inserted into the peritoneal cavity for the purpose of insufflation [e.g., with carbon dioxide (CO2)] to establish pneumoperitoneum prior to abdominal endoscopy. It is equipped with a spring-loaded, round-tipped obturator that extends from the tube when the device does not encounter resistance (i.e., when the cavity has been reached) to prevent damage from the sharp point. This is a single-use device"
12844,Orthopaedic osteotome,"A manual chisel-like surgical instrument designed to cut and/or shape bone by percussion during an orthopaedic procedure where the bone is typically used as a transplant. It is hand-held by the operator who uses a surgical mallet or hammer to manually impart a force to the proximal end of the instrument. The distal end (the cutting or shaping edge) is sharp, often flat, but can be curved (concave) in design, and is typically bevelled on both sides with sloping curves. It is made of high-grade stainless steel. This is a reusable device."
13180,"Orthopaedic prosthesis implantation instrument, reusable","A hand-held surgical instrument intended to be used during implantation of an orthopaedic prosthesis, either manually or as a computer-assisted surgery (CAS) device, to aid in the navigation/placement of the prosthesis or other instruments. It may be used for the following applications: 1) to hold/align/fix bone preparation instruments, prosthesis, or prosthesis component; 2) to provide relative position landmarks; 3) to ascertain correct spatial orientation or limb alignment; and/or 4) as an interface between prosthesis components. This is a reusable device intended to be sterilized prior to use. See also: Bone-angle protractor; Surgical depth gauge, reusable; Orthopaedic implant inserter/extractor; Robotic surgical navigation system; Robotic surgical system; Orthopaedic implant aiming arm; Orthopaedic prosthesis implantation instrument, single-use"
13702,Neurosurgical sponge,A sterile absorbent material intended to be used on the brain to remove blood and other fluids during an operation. This is a single-use device.
13730,Sterilization container,"A receptacle designed to hold unwrapped surgical instruments, typically devices such as surgical powered drills and saws along with their hoses, during sterilization and for their subsequent storage. The container is permeable in order to allow moisture to escape from within after the sterilization process is finished, whilst protecting the contents from being contaminated. It may have features such as an expiry date label, sterile breathing filter, and stacking capabilities. This is a reusable device"
13732,Biological sterilization indicator,"A sterilization indicator consisting of a standardized, viable population of microorganisms (e.g., bacterial spores known to be resistant to the mode of sterilization being monitored) that will display a change when exposed to an effective sterilization outcome indicating that sterilization parameters have been met. This is a single-use device."
13735,"Sterilization packaging, single-use","A device intended to be used to enclose medical devices that are to be sterilized. It is designed to allow sterilization of the enclosed medical device and also to maintain sterility of the device until the packaging is opened for use of the device, or until a predetermined shelf date is expired. This is a single-use device."
13836,Needle stylet,"A device made of a thin wire or thin flexible rod that is intended to be inserted into the lumen of a needle to render it stiff and maintain the shape or patency of the needle, or to clear the lumen of the needle. It is available in various wire lengths and diameters, and will typically have a plastic knob at the proximal end. This is a single-use device."
13898,"Catgut suture, plain","A sterile, single-strand (monofilament), natural, bioabsorbable thread composed mostly of collagen fibres derived from mammals (e.g., sheep or bovine intestines) intended to join (i.e., approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues; it may include an attached needle intended to be disposed of after single use. The thread provides temporary wound support, until the wound sufficiently heals to withstand normal stress, and is subsequently absorbed by enzymatic degradation. This is a single-use device."
13904,"Surgical stainless steel suture, multifilament","A sterile, multiple-strand (multifilament), natural, non-bioabsorbable wire made of surgical steel (iron-chromium-nickel-molybdenum alloy) intended to join (approximate) the edges of a soft-tissue wound or incision by stitching (e.g., for abdominal wound closure, intestinal anastomosis, hernia repair), or transosseous (through bone) stitching (e.g., sternal closure); it may include an attached needle intended to be disposed of after single use. It is used primarily in orthopaedic, neurosurgical, and thoracic applications and provides temporary wound support until the wound sufficiently heals to withstand normal stress; it may be retained for permanent support. This is a single-use device."
13906,Polyester suture,"A sterile, multiple-strand (multifilament), synthetic, non-bioabsorbable thread made of polyester (a polymer of polyethylene terephthalate) fibres, that may be coated with polybutilate or silicone, intended to join (approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues; it may also include an attached needle intended to be disposed of after single use. The thread, commonly used for vessel anastomosis and the placement of prosthetic materials, provides temporary wound support until the wound sufficiently heals to withstand normal stress; it elicits minimal tissue reaction and lasts indefinitely in the body. This is a single-use device."
13907,Polyethylene suture,"A sterile, multiple-strand (multifilament), synthetic, non-bioabsorbable thread made of polyethylene (PE), intended to join (approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues; it may include an attached needle intended to be disposed of after single-use. The thread provides temporary wound support until the wound sufficiently heals to withstand normal stress; it can be removed from the tissue once wound healing occurs or allowed to remain in the tissue where it is gradually encapsulated by fibrous connective tissue. This is a single-use device."
13908,Polyglycolic acid suture,"A sterile, single-strand (monofilament), synthetic, bioabsorbable thread made from a polymerization of polyglycolic acid (PGA) that is intended to join (approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues. It may include an attached needle intended to be disposed of after single use; it may be coated with a material such as polycaprolactone or uncoated. The thread provides temporary wound support, until the wound sufficiently heals to withstand normal stress, and is subsequently absorbed by hydrolysis. This is a single-use device."
13909,Polypropylene suture,"A sterile, single-strand (monofilament), synthetic, non-bioabsorbable thread made of polypropylene, an isostatic crystalline stereoisomer of a linear propylene polymer, intended to join (approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues; it may include an attached needle intended to be disposed of after single use. The thread provides temporary wound support until the wound sufficiently heals to withstand normal stress; as the material does not adhere to tissues, it is typically used in cases where the suture is to be removed after healing. This is a single-use device."
13910,"Silk suture, sterile","A sterile, natural, non-bioabsorbable thread made from raw silk spun by silkworms (typically coated with beeswax or silicone) intended to join (i.e., approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues; it may include an attached disposable needle. It provides temporary wound support until the wound sufficiently heals to withstand normal stress. Although classified as a ""non-bioabsorbable"" material, it may be digested by proteolysis after an extended period of time. This is a single-use device."
13983,Umbilical cord tape,"A thin, flat strip of synthetic and/or natural material which is used as a tie or suture around the umbilical cord of a newborn infant after severance from the placenta. It typically consists of a braided strip of cotton thread and or spun polyester yarn and comes in a variety of sizes. This is a single-use device."
14147,Bone trephine,"An orthopaedic surgical blade designed to cut and remove circular sections of bone, typically for biopsy or percutaneous bone graft harvesting. It is typically a hollow cylinder with a circular, saw-like serrated working edge. It is an exchangeable device that may be attached to a manually-operated handle or to a powered rotary surgical handpiece. The device is typically made of high-grade stainless steel. This is a reusable device."
14155, Laparoscopic trocar,"A rigid, surgical instrument with a sharp pyramidal or conical point used to puncture the abdominal wall to facilitate the introduction of a laparoscope in the abdominal cavity. It is typically assembled and used together with a compatible sleeve, filling its lumen, thereby allowing the introduction of this assembly. Following puncture, the trocar is withdrawn providing an access port to the cavity. This is a reusable device. See also: Suprapubic trocar; Laparoscopic sleeve; Endotherapy trocar, single-use; Endotherapy trocar, reprocessed"
14159, Gallbladder trocar,"A rigid, surgical instrument with a sharp pyramidal or conical point used to percutaneously puncture the abdominal wall providing access to the gallbladder through a catheter or cannula. It is frequently assembled and used together with a compatible cannula or catheter (i.e., filling its lumen), thereby facilitating the introduction of this assembly. The trocar is withdrawn after puncturing, providing a working channel to the gallbladder. This is a reusable device. See also: Laparoscopic trocar; Suprapubic trocar; Endotherapy trocar, single-use; Endotherapy trocar, reprocessed"
15056,"Shoe cover, non-conductive, non-sterile",A non-sterile device made of a non-conductive material intended to be used as a physical barrier on a shoe to prevent cross-contamination between the shoe and the environment. This is a single-use device.
15275,Bone awl,"A spike-like, orthopaedic, surgical instrument that is used to bore holes in bone. It is typically designed as a straight or slightly curve rod-like instrument with a sharp, trocar-like point at the distal end and a T-shaped handle at the proximal end. It is manually-operated by the surgeon who rotates the point back and forth on the bone whilst exerting pressure onto the handle. This operation will penetrate the hard outer bone and create a passage into, e.g., a medullary canal. It is typically made of high-grade stainless steel, titanium (Ti) and a synthetic material for the handle (e.g., Tufnol). This is a reusable device intended to be sterilized prior to use."
15688,Cerebrospinal fluid shunt filter,"A sterile implantable device intended to be used with a cerebrospinal fluid (CSF) shunt assembly (e.g., ventriculoperitoneal shunt, lumboperitoneal shunt) for in-line shunt placement to filter particles by size to prevent transmission of cells when draining CSF from the brain. It typically includes a cellulose membrane supported in a stainless steel mesh encased in, e.g., silicone, and has ports for connection to the shunt. It is used when neoplasms are present or suspected in patients who need treatment using a CSF shunt. It may be implanted behind the mastoid air cells to expose its content to radiation when applied."
15749,Cranial bur hole cover,A sterile device used to cover or to plug holes drilled into the skull during surgery and to reattach cranial bone removed during the intervention. This is a single-use device.
15772,Surgical instrument maintenance lubricant,"A non-sterile solution intended to be applied to a surgical instrument prior to sterilization for purposes of lubrication/maintenance (e.g., to prevent moving or mating parts from sticking together during use, inhibit corrosion, and to improve longevity of the instrument); it is not dedicated to a particular type of surgical instrument. It may be a water-soluble solution, commonly known as instrument milk because of its white colour when mixed with water, in which the instrument is immersed, or it may be a spray that is sprayed onto the instrument. After application, this device cannot be reused."
15800,Dissection forceps,"A sterile rod made of metal or other material (e.g., carbon fibre) designed to be inserted into the intramedullary canal of any long bone [e.g., femur, tibia, humerus (including fixation of the glenoid), talus, fibula, radius, ulna] to immobilize by holding the ends of a fractured or diseased bone together (i.e., in position) for the purpose of joint fusion or arthrodesis (an operation to permanently fix a joint in position). The device is used for traumatic repair or reconstructive procedures; it may include screws if locked into place. This is a single-use device."
15971,"Surgical stainless steel suture, monofilament","A sterile, single-strand (monofilament), natural, non-bioabsorbable wire made of surgical steel (iron-chromium-nickel-molybdenum alloy) intended to join (approximate) the edges of a soft-tissue wound or incision by stitching (e.g., for abdominal wound closure, intestinal anastomosis, hernia repair), or transosseous (through bone) stitching (e.g., sternal closure); it may include an attached needle intended to be disposed of after single use. It is used primarily in orthopaedic, neurosurgical, and thoracic applications and provides temporary wound support until the wound sufficiently heals to withstand normal stress; it may be retained for permanent support. This is a single-use device. See also: Orthopaedic bone wire; Orthodontic wire; Wire ligature"
15974,Cerebrospinal fluid reservoir,"A sterile, closed system designed to access the cerebral ventricles to drain and collect cerebrospinal fluid to reduce intracranial pressure (ICP). This is a single-use device."
16077,Orthopaedic bone bolt,"A short rod or shaft designed to be inserted through a long bone in order to secure the bone for traction or for a similar process/apparatus. The device is fastened with a nut/washer, and is typically made of metal or a polymer. It is typically used in the proximal tibia or distal femur. This is a single-use device."
16131,Cranial resinous compound,"A substance used to reconstitute cranial bone after neurosurgery (i.e., cranioplasty). It typically consists of a self-curing resin [e.g., polymethylmethacrylate (PMMA)] or a two part resinous material made of several compositions. It may be conformed as an inert implant in an appropriate shape (e.g., a plate) needed to repair the defect of the skull, either using an intraoperatively cured solid composition, or a preoperatively fabricated, porous, custom-made, implant. After application, this device cannot be reused."
16224,Suture cutter,A dedicated hand-held surgical instrument used for cutting sutures. It will typically have a protected scalpel-like blade which may be fixed or have a scissor-like cutting action. This is a reusable device.
16462,"Surgical countersink, reusable","A rotary surgical instrument designed to enlarge the diameter of the proximal portion of a hole drilled in bone. It is a shaft of metal with a cutting head, available in various configurations, that is rotated at low speeds typically by a drilling system. The device is typically used to recess the head of a screw/bolt within bone (enable it to lie flush with or below the bone surface) or to help accommodate the implantation of a device in bone. This is a reusable device."
16463,Basic crimper,"A hand-held manual device designed to compress (pinch) a non-patient-contact sealing device (e.g., a clip or crimping ring of metal applied apart from the body) to reduce its size (diameter) and create a tight seal on objects being clamped or held together. This is performed by the application of force on the grip of the crimper's handles by the operator. This is a reusable device."
16584,Polydioxanone suture,"A sterile, single-strand (monofilament), synthetic, bioabsorbable thread made of polydioxanone (PDS) [made from poly (p-dioxanone)] intended to join (approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues. It may include an attached needle intended to be disposed of after single use. The thread provides extended temporary wound support, until the wound sufficiently heals to withstand normal stress, and is subsequently absorbed by hydrolysis. This is a single-use device."
16763,Intracranial pressure monitor,"A mains electricity (AC-powered) device, which may include internal rechargeable batteries, intended for intermittent or continuous measurement and display of intracranial pressure (ICP). It is used in conjunction with an invasive intracranial device (e.g., intracerebral sensor catheter) that transmits electrical signals via connected cables or pressure signals via tubing (e.g., via the air pouch method). It may include an alarm designed to alert clinical staff to an elevated ICP and may also produce a strip-chart recording or display of the ICP waveform that enables interpretation of long-term ICP trends."
16779,Suction system tubing,"A length of flexible tube, typically made of synthetic polymer material(s), intended to connect a suction catheter to a collection bottle/canister, a collection canister/bottle to a regulator/suction pump, or to connect a series of collection bottles/canisters to increase to total capacity within a suction system. The device may be provided in rolls from which required lengths are cut, or in predetermined lengths with built-in connectors. This is a single-use device. See also: Vacuum tubing, reusable; Vacuum tubing, single-use"
16787,"Surgical staple remover, reusable","A surgical instrument made of metal or plastic that is used to remove surgical staples after the healing process has progressed sufficiently to permit the borders of the wound or incision to remain together without assistance. It is typically made of high-grade stainless steel with blades at the distal end designed for grasping, opening, and removing surgical staples. This is a reusable device."
16825,Syringe tip cap,A device intended to cover the tip of a syringe (without a needle) in order to prevent the leakage of syringe contents and to maintain content sterility until the syringe is used. This device is typically constructed of plastic. This is a single-use device.
16966,Synthetic bone graft,"An artificial bone substitute used for structural bone replacement typically when bone is lost due to disease (e.g., osteoporosis) or injury. It consists mainly of porous and mesh ceramic materials that provide a framework for bone growth, or harvested sea coral that serves as an additive, extender, or provides a framework for bone growth. This is a single-use device."
17115,External battery charger,"An electrically-powered device designed to supply an electrical charge, via a direct/wired connection (i.e., not wireless), to a rechargeable battery or battery pack to recharge it for operation in a parent device."
17180,Subcutaneous injection/infusion port needle,"A sterile, sharp bevel-edged, hollow tubular metal instrument attached to a syringe and designed for the therapeutic injection or infusion of medicinal substances directly beneath the skin layer. This is a single-use device."
17184,"Peripheral angioplasty balloon catheter, basic","A sterile, non-drug-eluting, flexible tube designed for percutaneous transluminal angioplasty (PTA) to dilate a stenotic peripheral (i.e., non-cerebral, non-coronary) artery by controlled inflation of a distensible balloon(s) at its distal tip; it may also be intended for positioning and expansion of a stent/stent-graft. It is available as an over-the-wire (OTW) type with multiple lumens, or a rapid exchange (RX) type with a single lumen. Some types may include microsurgical blades (atherotomes) to score the plaque. This is a single-use device."
17245,Polybutester suture,"A sterile, single-strand (monofilament), synthetic, non-bioabsorbable thread made of polybutester, a copolymer of polyglycol terephthalate and polytrimethylene terephthalate, intended to join (approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues; it may include an attached needle intended to be disposed of after single use. The thread provides temporary wound support until the wound sufficiently heals to withstand normal stress. It is very elastic and has a low coefficient of friction, making it ideal for surface closure, and does not lose tensile strength or become absorbed. This is a single-use device."
17471,Polyglactin suture,"A sterile, multiple-strand (multifilament), synthetic, bioabsorbable thread made of polyglactin, typically coated (e.g., with a copolymer of lactide and glycolide, and calcium stearate), intended to join (approximate) the edges of a soft-tissue wound or incision by stitching or to ligate soft tissues; it may include an attached needle intended to be disposed of after single use. The thread provides temporary wound support, until the wound sufficiently heals to withstand normal stress, and is subsequently absorbed by hydrolysis. This is a single-use device. See also: Polyglactin suture, antimicrobial"
17507,"Bone tap, reusable","A metal surgical instrument designed for cutting internal threads into bone so that the threads facilitate the insertion of bone screws. The screws anchor bone fragments, fixtures and/or other devices to the bone. It is made of high-grade stainless steel and has a helical thread intersected with longitudinal cutting grooves forming the cutting edges at its distal end and may be cannulated. The proximal end typically terminates in a square to which a tapping instrument or extension can be attached. It will typically be manually rotated in order to create a best possible thread. This is a reusable device."
17541,"Catheter-balloon inflator, single-use","A sterile device designed to manually inflate and regulate the pressure of a balloon catheter (e.g., by injecting and aspirating fluid or air within the balloon), and to deflate the balloon during a medical procedure. It typically consists of a dedicated syringe/plunger mechanism, a gauge or integral pressure transducer for monitoring pressure within the balloon, a locking mechanism, and a connecting tube. It may also be used to inflate the balloon of an inflatable balloon tamp or an endomicroscopy probe. It is typically used during angiography, angioplasty, gastrointestinal (GI), sinuplasty, or kyphoplasty procedures. This is a single-use device. See also: Inflatable bone tamp; Kyphoplasty balloon catheter"
17649,Gastric band,"An implantable device in the form of a small belt or strip intended to be surgically (open surgery or laparoscopically) placed around the proximal part of the stomach to create a small pouch with a narrowed outlet (stoma) that divides the stomach into two portions. Commonly known as a lap-band, it is used for weight loss in overweight/obese patients by attempting to restrict the quantity of food consumed by increasing the sense of satiety (fullness). The device typically has an inflatable band used to control the amount of constriction on the stomach; this is adjusted by percutaneous injection of, e.g., saline, into a subcutaneous access port connected by a tube to the device"
17735,Arthroscopic suturing unit,"A manually-operated, surgical device intended to be used in combination with a compatible arthroscope to mechanically approximate the edges of an internal wound or incision, including muscle tears, with sutures during arthroscopy. A suture punch mechanism places the number of sutures desired by the surgeon at the site of the lesion. This is a reusable device intended to be sterilized prior to use."
17751,"Bone matrix implant, synthetic","A sterile bioabsorbable device made of synthetic material intended to be implanted into the body to provide osteoconductive bone-tissue scaffolds, and sometimes osteovascularization, to replace bone lost through trauma, surgery, or pathological conditions (e.g., osteoporosis). It may be made of ceramics (e.g., tricalcium phosphate or hydroxyapatite), bioactive glasses/minerals/metals (e.g., strontium), or bioabsorbable polymers. It is used to fill cystic defects, repair fractures, and/or extend autogenous bone grafts and is typically provided as cancellous blocks, chips, or granules of varying sizes, or mouldable/fluid materials."
17827,Bronchial balloon catheter,"A sterile flexible tube designed with a balloon at or near the distal tip that may be introduced directly (usually under fluoroscopic guidance) or through a bronchoscope so that its distal tip reaches the bronchi, permitting the inflation of the balloon after introduction. The device is typically used to treat benign stenosis and strictures of the airway and/or to control pulmonary bleeding (i.e., hemoptysis). This is a single-use device."
17846,"Vascular guide-catheter, single-use","A sterile flexible tube intended to be used for the percutaneous transluminal passage and placement of guidewires and/or diagnostic/interventional devices (e.g., pacing leads, balloon dilatation catheter, stent and delivery system, or embolization device) within the vascular system. The guide catheter may be rigid or flexible, non-steerable or steerable, and the distal section of the tube can have a variety of preformed shapes (e.g., straight, multi-purpose, hockey stick, renal double curve); it typically has radiopaque markers so that it can be fluoroscopically tracked. It may include disposable introduction devices (e.g., needle, guidewire, dilator). This is a single-use device."
18034,Endoscopic video image processor,"A mains electricity (AC-powered) device designed to receive the electronic signals sent from a video endoscope or endoscopic video camera for the purpose of processing them. It may have additional features which compensate for/enhance the colour and light qualities provided. The picture images are sent to and shown on a visual display unit (VDU), typically to assist the endoscope operator with an ongoing intervention and often to allow the patient visualization of the process, and also the images can be recorded on a video recorder or stored on computerized media. Hard copy pictures can also be produced through the use of other devices."
18039,Glove liner,"A cloth glove intended to be worn as a liner underneath rubber, plastic, or latex gloves (examination or surgical) to minimize the risk of allergic reactions, rashes, and other skin irritations, or to reduce the risk of sharps injuries. This is a single-use device."
18129,Bone mill,A manually-operated device intended to be used to grind bone into a slurry or a powder for use as a bone matrix for bone regeneration or bone grafting. This is a reusable device.
30854,Home-use/point-of-care blood glucose monitoring system IVD,"A collection of devices including a portable, battery-powered, semi-automated or automated instrument (self-testing meter), reagents, test strips and/or other associated materials and accessories (e.g., control solutions, lancets) intended to be used together for testing, either at the point-of-care or self-testing by a layperson, for the quantitative measurement of glucose in a whole blood clinical specimen. Measured glucose values are used to manage blood glucose levels, primarily by persons with diabetes mellitus."
31048,Surgical drill chuck,"A device used to grip a cutting tool (normally a drill or other rotational cutting tool) using three adjustable jaws that are geared to be manually closed concentrically upon the cutting tool. It is attached (locked) to a surgical drilling machine which is usually powered, but may be manual. A special key is often used to close and tighten the jaws. Commonly known as a Jacobs chuck, it is typically made of high-grade stainless steel to resist the corrosive effects of sterilization processes. This is a reusable device."
31335,Bone curette,"A manual surgical instrument designed for cutting and excising bone tissue typically during an orthopaedic or a plastic surgery procedure. It is typically designed as a long, slender instrument with a handle at the proximal end and a concave, spoon-like tip which has a sharp edge, at the distal end, or it may be double-ended, and is used to facilitate the removal of the bone tissue without causing trauma to the surrounding muscles. It is typically made of high-grade stainless steel and is a common instrument of choice for the removal of the bone. This is a reusable device."
31744,"Cardiovascular patch, synthetic","A sterile implantable material designed to reinforce suture lines and/or increase the strength of weak or injured cardiac and/or peripheral vascular tissues during cardiovascular repair/reconstruction procedures (e.g., annulus or septal defect repair, endarterectomy, profundaplasty). It is a non-bioabsorbable perforated patch made of synthetic polymer material [e.g., polypropylene, polytetrafluoroethylene (PTFE) or Teflon, felt], without biological materials, that is typically implanted with sutures. It is typically implanted during cardiovascular procedures but may also be used in other open and/or laparoscopic soft-tissue surgical procedures (e.g., hernia repair)."
32021,Suprapubic trocar,"A surgical instrument with a sharp pyramidal or conical point used to puncture the lower abdominal wall, typically to access the urinary bladder with a catheter or cannula. It is typically made of high-grade stainless steel or durable plastic and may be flexible. It used to make a puncture through the skin and underlying tissues to create a channel for a catheter or cannula to pass fluids to and from the bladder. This is a reusable device."
32033,Battery box,A special container intended to be used to house batteries for protective purposes. This device will typically be portable so that the user can safely carry the power source.
